,player_id,season,player_display_name,recent_team,GP,position,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh,age,status,y/c,y/g,c/g,y/rec,rec/g,y/tgt,catch %,touches,y/touch,rrtd
5063,00-0034351,2022,Dallas Goedert,PHI,12,TE,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,55,69,702.0,3,1.0,1.0,424.0,420.0,40.0,45.187987072817165,0,28.47765233686346,2.4181013812138263,2.1173453186836624,5.109293794899303,0.0,86.2,141.2,12,0.18449197860962566,0.14696707105719237,0.2843601895734597,0.3943116247601924,0.22659780503550678,0.17647058823529413,0.273972602739726,0.26380368098159507,0.20153419663540045,0.21657236167546426,1.8770053475935828,0.12906528217034421,27.0,ACT,,0.0,0.0,12.763636363636364,4.583333333333333,10.173913043478262,79.71014492753623,55,12.763636363636364,3
5064,00-0034351,2023,Dallas Goedert,PHI,14,TE,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,1.0,0,0.0,0.0,0.0,-0.45955811988096684,0,59,83,592.0,3,0.0,0.0,445.0,319.0,33.0,16.14812831702584,0,21.61008305758972,2.721693260446011,1.7420044387278621,5.301942997778521,0.0,77.3,136.3,14,0.17965367965367965,0.10845722641969291,0.21641791044776118,0.3562463006162738,0.17396414928004703,0.15,0.20496894409937888,0.19889502762430938,0.1619820746400235,0.16917131942403763,1.2813852813852813,0.11172863794347171,28.0,ACT,1.0,0.07142857142857142,0.07142857142857142,10.033898305084746,4.214285714285714,7.132530120481928,71.08433734939759,60,9.883333333333333,3
5065,00-0034353,2018,Anthony Miller,CHI,14,WR,REG,1,1,8.0,0,0.0,0.0,0.0,0,0,-6.0,14.0,1.0,1.5813229362247512,0,0.0,0.0,6,26.0,0,1.0,0.0,0.0,0.140340416575782,0,33,54,423.0,7,0.0,0.0,604.0,170.0,19.0,22.69112068935801,0,12.228567082124377,1.7369732243664666,1.9752599179814379,3.9881417791367064,0.0,87.22000000000001,120.22000000000001,14,0.11790393013100436,0.15009940357852883,0.12667660208643816,0.2969354180593296,0.13394553514882837,0.35,0.12582781456953643,0.15204678362573099,0.24197276757441416,0.17715642811906268,0.9235807860262009,0.10213930094645801,23.0,ACT,4.333333333333333,1.8571428571428572,0.42857142857142855,12.818181818181818,2.357142857142857,7.833333333333333,61.111111111111114,39,11.512820512820513,7
5066,00-0034353,2019,Anthony Miller,CHI,16,WR,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,-1.0,0,1.0,1.0,0.0,-5.320685210870579,0,52,85,656.0,2,0.0,0.0,865.0,217.0,34.0,20.28329281742603,0,13.282291451352755,2.20700782602398,2.749167356998686,5.23492888893505,0.0,75.5,127.5,16,0.14655172413793102,0.19061260467166152,0.14109232769830948,0.37231766994422577,0.18359921634480827,0.1,0.19101123595505617,0.18181818181818182,0.14179960817240414,0.1668793730758466,1.1310344827586207,0.10273807029701375,24.0,ACT,-1.0,-0.0625,0.0625,12.615384615384615,3.25,7.7176470588235295,61.1764705882353,53,12.358490566037736,2
5067,00-0034353,2020,Anthony Miller,CHI,16,WR,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,2,12.0,0,0.0,0.0,1.0,0.6104293982498348,0,49,76,485.0,2,1.0,1.0,735.0,148.0,23.0,3.230421345849213,0,18.568532008162208,2.013150811594734,2.285249186723277,4.619400648098395,0.0,59.7,108.7,16,0.1237785016286645,0.15092402464065707,0.08619685497961561,0.3064069721555224,0.12356687898089172,0.07692307692307693,0.10550458715596331,0.10245901639344263,0.10024497795198432,0.11423811856932876,0.7899022801302932,0.07664645325059935,25.0,ACT,6.0,0.75,0.125,9.89795918367347,3.0625,6.381578947368421,64.47368421052632,51,9.745098039215685,2
5068,00-0034353,2021,Anthony Miller,PIT,3,WR,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,6,12,25.0,1,0.0,0.0,76.0,10.0,3.0,-11.383189313637558,0,1.779503105590062,0.5156410256410257,0.4169145271204768,1.0653017074458722,0.0,8.5,14.5,3,0.13333333333333333,0.11411411411411411,0.05813953488372093,0.2912912912912913,0.04826254826254826,0.5,0.10344827586206896,0.12903225806451613,0.27413127413127414,0.13861003861003862,0.2777777777777778,0.10026275757156686,26.0,DEV,,0.0,0.0,4.166666666666667,2.0,2.0833333333333335,50.0,6,4.166666666666667,1
5072,00-0034364,2018,Jordan Akins,HOU,13,TE,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,17,25,225.0,0,0.0,0.0,172.0,123.0,11.0,12.197761485876981,0,44.63276353276353,0.7861321858087316,0.631950431372268,1.621563580673685,0.0,22.5,39.5,13,0.0576036866359447,0.04690482683392419,0.08210947930574099,0.12392939142105641,0.06441454337245921,0.0,0.06285714285714286,0.05699481865284974,0.032207271686229604,0.05153163469796737,0.5184331797235023,0.034095224942167594,26.0,ACT,,0.0,0.0,13.235294117647058,1.3076923076923077,9.0,68.0,17,13.235294117647058,0
5073,00-0034364,2019,Jordan Akins,HOU,16,TE,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,36,55,418.0,2,0.0,0.0,393.0,246.0,21.0,13.212515767684632,0,43.49898759857102,1.6462567931692762,1.2695545456569868,3.3580733717138047,0.0,53.800000000000004,89.8,16,0.10299625468164794,0.0828764234500211,0.13606194690265486,0.22079552078248876,0.1023757041391134,0.07407407407407407,0.10344827586206896,0.1,0.08822488910659373,0.09671537812610553,0.7827715355805244,0.061442881383764844,27.0,INA,,0.0,0.0,11.61111111111111,2.25,7.6,65.45454545454545,36,11.61111111111111,2
5074,00-0034364,2020,Jordan Akins,HOU,13,TE,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,4.0,0,0.0,0.0,1.0,0.7527946922928095,0,37,49,403.0,1,0.0,0.0,369.0,172.0,20.0,16.162207263720944,0,15.35191137132729,1.5334579520887994,1.3444172034878858,3.241278970574719,0.0,46.7,83.7,13,0.11290322580645161,0.0942769545222279,0.10770194113963683,0.24477640232745973,0.10494791666666667,0.041666666666666664,0.11494252873563218,0.10606060606060606,0.07330729166666666,0.09229166666666667,0.9285714285714286,0.06828750917842866,28.0,ACT,4.0,0.3076923076923077,0.07692307692307693,10.891891891891891,2.8461538461538463,8.224489795918368,75.51020408163265,38,10.710526315789474,1
5075,00-0034364,2021,Jordan Akins,HOU,12,TE,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,3.0,0,0.0,0.0,1.0,0.49852748471312225,0,24,33,214.0,0,2.0,2.0,207.0,81.0,11.0,-8.525723242740607,0,13.545265309738994,1.0371351766513057,0.8660220157750149,2.161918176019469,0.0,17.700000000000003,41.7,12,0.08168316831683169,0.0696969696969697,0.060044477390659746,0.17828232823282328,0.07623797648735305,0.0,0.08661417322834646,0.07746478873239436,0.03811898824367652,0.06099038118988244,0.5297029702970297,0.045223841749089014,29.0,INA,3.0,0.25,0.08333333333333333,8.916666666666666,2.0,6.484848484848484,72.72727272727273,25,8.68,0
