,player_id,season,player_display_name,recent_team,GP,position,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh,age,status,y/c,y/g,c/g,y/rec,rec/g,y/tgt,catch %,touches,y/touch,rrtd
5403,00-0034845,2021,Sony Michel,LA,17,RB,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,208,845.0,4,1.0,1.0,49.0,-21.070007933954304,0,21,33,128.0,1,0.0,0.0,-14.0,133.0,6.0,-8.643807557342068,0,-0.2296536796536799,0.9161201860201176,-0.06342855450507467,1.3297802908766243,0.0,125.3,146.3,17,0.054365733113673806,-0.0027269185820023374,0.062236780533458116,0.07936706480490884,0.02615982015123646,0.024390243902439025,0.02575107296137339,0.025547445255474453,0.025275032026837743,0.025805904901476977,0.21087314662273476,0.08599205322925728,26.0,ACT,4.0625,49.705882352941174,12.235294117647058,6.095238095238095,1.2352941176470589,3.878787878787879,63.63636363636363,229,4.248908296943231,5
5404,00-0034845,2022,Sony Michel,LAC,10,RB,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,36,106.0,0,0.0,0.0,8.0,-2.808980143337976,0,9,13,53.0,0,0.0,0.0,22.0,46.0,1.0,-6.602370128559414,0,2.191666666666667,0.28822549723144936,0.07526732341068904,0.48502537223465636,0.0,15.9,24.900000000000002,10,0.03110047846889952,0.008270676691729323,0.031988873435326845,0.05326725905673274,0.019413919413919414,0.0,0.007692307692307693,0.00684931506849315,0.009706959706959707,0.015531135531135533,0.12679425837320574,0.026685242739256244,27.0,CUT,2.9444444444444446,10.6,3.6,5.888888888888889,0.9,4.076923076923077,69.23076923076923,45,3.533333333333333,0
5451,00-0034959,2019,Andrew Beck,DEN,9,RB,REG,1,1,6.0,0,0.0,0.0,0.0,0,0,-3.0,9.0,1.0,2.3515461592469364,0,0.0,0.0,1,3.0,0,0.0,0.0,1.0,0.6901791433338076,0,9,12,90.0,1,0.0,0.0,26.0,67.0,6.0,5.612248065997846,0,-22.354761904761908,0.4171489787588859,0.1446690773053958,0.7269918222521059,0.0,15.540000000000001,24.54,9,0.045283018867924525,0.0145413870246085,0.07188841201716738,0.0795576379215736,0.05244755244755245,0.125,0.07058823529411765,0.07526881720430108,0.08872377622377622,0.06695804195804196,0.33962264150943394,0.04087002864565985,23.0,ACT,3.0,0.3333333333333333,0.1111111111111111,10.0,1.0,7.5,75.0,10,9.3,1
5452,00-0034959,2022,Andrew Beck,DEN,8,RB,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,2,0.0,0,0.0,0.0,0.0,-2.069039475172758,0,5,11,69.0,0,0.0,0.0,46.0,47.0,2.0,-4.782320494297892,0,19.26086956521739,0.34663492832940845,0.16587924589793596,0.6360678646226678,0.0,6.9,11.9,8,0.040145985401459854,0.02005231037489102,0.04662698412698413,0.07626082640210259,0.03542094455852156,0.0,0.024096385542168676,0.02197802197802198,0.01771047227926078,0.028336755646817247,0.2518248175182482,0.01868953386103782,26.0,ACT,0.0,0.0,0.25,13.8,0.625,6.2727272727272725,45.45454545454545,7,9.857142857142858,0
5453,00-0034959,2023,Andrew Beck,HOU,12,RB,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,5,3.0,1,0.0,0.0,2.0,-1.4628208396025002,0,11,13,55.0,2,1.0,1.0,22.0,37.0,4.0,-9.02365962843089,0,6.958333333333333,0.41822567983558695,0.09259601860601088,0.692155732777588,1.0,27.8,38.8,12,0.03132530120481928,0.005851063829787234,0.02539464653397392,0.05166880287105871,0.016571256402530883,0.09090909090909091,0.02631578947368421,0.034482758620689655,0.053740173655810894,0.03143882330384289,0.13253012048192772,0.035117571457017174,27.0,ACT,0.6,0.25,0.4166666666666667,5.0,0.9166666666666666,4.230769230769231,84.61538461538461,16,3.625,3
5463,00-0034972,2019,Alexander Mattison,MIN,13,RB,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,100,462.0,1,1.0,1.0,19.0,-12.627606168185594,0,10,12,82.0,0,0.0,0.0,27.0,74.0,3.0,2.6980883756186813,0,0.5833333333333321,0.37904425957818616,0.09163662146710086,0.6327120243942499,0.0,58.400000000000006,68.4,13,0.030927835051546393,0.009130875887724045,0.04423191870890616,0.05369645328749883,0.02504581551618815,0.0,0.020134228187919462,0.017341040462427744,0.012522907758094075,0.020036652412950523,0.211340206185567,0.056026079976410084,21.0,ACT,4.62,35.53846153846154,7.6923076923076925,8.2,0.7692307692307693,6.833333333333333,83.33333333333334,110,4.945454545454545,1
5464,00-0034972,2020,Alexander Mattison,MIN,13,RB,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,96,434.0,2,0.0,0.0,24.0,-7.244571216375334,0,13,15,125.0,1,0.0,0.0,41.0,108.0,5.0,8.095390505943215,0,50.82051282051282,0.49532744905742615,0.1421507891699569,0.842496726005109,0.0,73.9,86.9,13,0.0379746835443038,0.012290167865707434,0.07204803202134756,0.06679415960902164,0.03629500580720093,0.03571428571428571,0.03048780487804878,0.03125,0.03600464576074332,0.036178861788617886,0.31645569620253167,0.06650035201567235,22.0,ACT,4.520833333333333,33.38461538461539,7.384615384615385,9.615384615384615,1.0,8.333333333333334,86.66666666666667,109,5.128440366972477,3
5465,00-0034972,2021,Alexander Mattison,MIN,16,RB,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,134,491.0,3,1.0,1.0,28.0,-25.048398856713902,0,32,39,228.0,1,0.0,0.0,3.0,238.0,10.0,-2.7079422143603007,0,-11.476190476190478,1.1393815960080582,-0.008333823697813977,1.7032387174236174,0.0,93.9,125.9,16,0.06724137931034482,0.00065775049331287,0.1248688352570829,0.10138826936016752,0.05225762090304836,0.03125,0.050761421319796954,0.048034934497816595,0.04175381045152418,0.04805609672243869,0.3931034482758621,0.08140331820356649,23.0,ACT,3.6641791044776117,30.6875,8.375,7.125,2.0,5.846153846153846,82.05128205128204,166,4.331325301204819,4
5466,00-0034972,2022,Alexander Mattison,MIN,17,RB,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,74,283.0,5,0.0,0.0,21.0,0.3825849905551877,0,15,18,91.0,1,0.0,0.0,-33.0,121.0,4.0,4.290313577837184,0,-11.013636363636364,0.4710564698064698,-0.12350898520045234,0.6201284150693881,0.0,73.4,88.4,17,0.026785714285714284,-0.006580259222333001,0.057210401891252954,0.03491436405070503,0.018887505188875053,0.03333333333333333,0.01639344262295082,0.01824817518248175,0.026110419261104193,0.02177667081776671,0.13541666666666666,0.052977909889609376,24.0,ACT,3.824324324324324,16.647058823529413,4.352941176470588,6.066666666666666,0.8823529411764706,5.055555555555555,83.33333333333334,89,4.202247191011236,6
5467,00-0034972,2023,Alexander Mattison,MIN,16,RB,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,180,700.0,0,2.0,2.0,28.0,-31.740954303268495,0,30,44,192.0,3,0.0,0.0,24.0,181.0,5.0,-5.054178302693316,0,0.4731313131313133,1.2029128090626184,0.1226480355259145,1.8902228384620678,0.0,103.2,133.20000000000002,16,0.07370184254606366,0.005111821086261981,0.10117384013415316,0.11464222068810506,0.04366613600181942,0.10714285714285714,0.024509803921568627,0.034482758620689655,0.07540449657233828,0.05636148023002697,0.32160804020100503,0.09416222482998489,25.0,ACT,3.888888888888889,43.75,11.25,6.4,1.875,4.363636363636363,68.18181818181817,210,4.247619047619048,3
5468,00-0034975,2019,Justice Hill,BAL,15,RB,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,58,225.0,2,0.0,0.0,10.0,-5.71678223827621,0,8,15,70.0,0,0.0,0.0,23.0,81.0,5.0,2.6491508723602646,0,11.373949579831933,0.5013649908493184,0.08891222425626755,0.8142860432533651,0.0,41.5,49.5,15,0.03571428571428571,0.0063518365092515875,0.0574468085106383,0.058652897778829836,0.02182725288431556,0.0,0.030120481927710843,0.024630541871921183,0.01091362644215778,0.017461802307452447,0.16666666666666666,0.032917049036428205,21.0,ACT,3.8793103448275863,15.0,3.8666666666666667,8.75,0.5333333333333333,4.666666666666667,53.333333333333336,66,4.46969696969697,2
