Rank,Name,Team,Position,Final PPG
253,Jamison Crowder,was,WR,2.8727351566800468
254,Drew Sample,cin,TE,2.8685887263805077
255,Pharaoh Brown,sea,TE,2.868218486034824
256,Devin Asiasi,oti,TE,2.861839152364892
257,Hayden Hurst,sdg,TE,2.8607163212315596
258,Parker Hesse,det,TE,2.858210296161899
259,Anthony Firkser,det,TE,2.858210296161899
260,James Mitchell,det,TE,2.8548933353470254
261,River Cracraft,mia,WR,2.8536572643341214
262,Ben Skowronek,htx,WR,2.850927714733538
263,Tommy Sweeney,chi,TE,2.850927714733538
264,Jordan Akins,cle,TE,2.843497251606145
265,Braxton Berrios,mia,WR,2.8334689621608398
266,C.J. Uzomah,phi,TE,2.8238097329015366
267,Sean McKeon,det,TE,2.8212468407104163
268,Brock Wright,det,TE,2.8212468407104163
269,Allen Robinson,nyg,WR,2.8185690918521105
270,Phillip Dorsett,den,WR,2.814890165842001
271,Trent Taylor,sfo,WR,2.7974204838265138
272,Chris Manhertz,nyg,TE,2.7863136366773293
273,Zach Pascal,crd,WR,2.786191643003816
274,Eric Saubert,sfo,TE,2.760457028375029
275,Eric Tomlinson,clt,TE,2.743797007068544
276,Mo Alie-Cox,clt,TE,2.7244612280817555
277,Sterling Shepard,tam,WR,2.7211568110149362
278,MyCole Pruitt,pit,TE,2.7089771502619873
279,Nick Vannett,oti,TE,2.6843962114000566
