,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,player_id,season,player_display_name,team,GP,position,season_type,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh,age,status,y/c,y/g,c/g,y/rec,rec/g,y/tgt,catch %,touches,y/touch,rrtd,rb,wrte,receiving_AV,rushing_AV,YearsBack
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,00-0023500,2019,Frank Gore,buf,15,RB,REG,166,599.0,2,0.0,0.0,30.0,-32.82823066375568,0,13,16,100.0,0,0.0,0.0,14.0,88.0,5.0,1.1109304146375507,0,8.166666666666668,0.4981116504158366,0.0808867539048039,0.8037882033571178,0.0,81.9,15,0.0328542094455852,0.0032043945983062,0.0614954577218728,0.0518448298470228,0.0305997552019583,0.0,0.0324675324675324,0.0289017341040462,0.0152998776009791,0.0244798041615667,0.2053388090349076,0.0800357588638127,36.0,ACT,3.608433734939759,39.93333333333333,11.066666666666666,7.6923076923076925,0.8666666666666667,6.25,81.25,179,3.905027932960894,2,10.550429391767134,25.965015787584665,0.8041194111980385,3.076780528563054,5
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,00-0023500,2020,Frank Gore,nyj,15,RB,REG,187,653.0,2,1.0,1.0,32.0,-41.30601867538852,0,16,19,89.0,0,0.0,0.0,34.0,73.0,3.0,0.4342087780716661,0,16.928571428571427,0.6321398684265216,0.1301008130956522,1.039280371806739,0.0,84.2,15,0.0408602150537634,0.0084893882646691,0.053834808259587,0.0680818331923805,0.0312390312390312,0.0,0.0227272727272727,0.0204081632653061,0.0156195156195156,0.0249912249912249,0.1913978494623656,0.100900247719171,37.0,RES,3.4919786096256686,43.53333333333333,12.466666666666669,5.5625,1.0666666666666669,4.684210526315789,84.21052631578947,203,3.655172413793104,2,7.497326196804168,19.28411679001454,0.6138363355905916,2.908944745402924,4
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,00-0023545,2013,Brandon Jacobs,nyg,7,RB,REG,58,238.0,4,1.0,1.0,16.0,-0.3954744254297111,0,2,7,13.0,0,0.0,0.0,-6.0,15.0,0.0,-7.333479620050639,0,1.0,0.1855827570113284,-0.0049823830596946,0.2748864673752064,0.0,47.1,7,0.02734375,-0.0021660649819494,0.0223880597014925,0.0392827730144404,0.007471264367816,0.0,0.0,0.0,0.003735632183908,0.0059770114942528,0.05078125,0.0943686334806842,31.0,RES,4.103448275862069,34.0,8.285714285714286,6.5,0.2857142857142857,1.8571428571428568,28.57142857142857,60,4.183333333333334,4,6.438620967877493,24.8335659633772,0.0899766882731057,1.1504442870531857,11
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,00-0023564,2013,Darren Sproles,nor,15,RB,REG,53,220.0,2,1.0,1.0,11.0,-2.9118859643238344,0,71,89,604.0,2,0.0,0.0,138.0,518.0,24.0,27.918180798671564,0,40.09703521410839,2.227881765969752,0.395960297926901,3.618994857503458,0.0,104.4,15,0.1440129449838187,0.0278394190034294,0.2276923076923077,0.2382909526784717,0.1236691236691236,0.054054054054054,0.1043478260869565,0.097378277153558,0.0888615888615888,0.1097461097461097,0.9773462783171522,0.1067065751691244,30.0,ACT,4.150943396226415,14.666666666666666,3.533333333333333,8.507042253521126,4.733333333333333,6.786516853932584,79.7752808988764,124,6.645161290322581,4,9.437816045639485,43.97823653848166,5.401149831078268,1.409585560109088,11
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,00-0023564,2014,Darren Sproles,phi,15,RB,REG,57,329.0,6,2.0,1.0,18.0,4.503309102978669,0,40,62,387.0,0,0.0,0.0,45.0,404.0,17.0,-1.86516904650478,0,92.02377417903732,1.596645571075313,0.1405980040673828,2.493386959460137,2.0,117.6,15,0.110912343470483,0.0090780714141617,0.2098701298701298,0.1736309723370539,0.0928057553956834,0.0,0.085,0.0755555555555555,0.0464028776978417,0.0742446043165467,0.6923076923076923,0.1091412742382271,31.0,ACT,5.771929824561403,21.933333333333334,3.8,9.675,2.6666666666666665,6.241935483870968,64.51612903225806,97,7.381443298969073,6,10.866859336518012,35.05704763076681,3.1145724134772164,1.7947774707401736,10
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00-0023564,2015,Darren Sproles,phi,16,RB,REG,83,317.0,3,0.0,0.0,21.0,3.740245882509043,0,55,83,388.0,1,1.0,0.0,119.0,359.0,19.0,-6.502138428105066,0,-88.47123015873017,2.191016457080809,0.4802487629221047,3.622698819666687,2.0,106.5,16,0.1332263242375602,0.0280329799764428,0.1592017738359201,0.2222658703374946,0.0893803271135683,0.0434782608695652,0.0984455958549222,0.0925925925925925,0.0664292939915667,0.0801999138647677,0.622792937399679,0.1103865923009623,32.0,ACT,3.819277108433735,19.8125,5.1875,7.054545454545455,3.4375,4.674698795180723,66.26506024096386,138,5.108695652173913,4,8.537005198202902,29.220165560444475,2.774021100428788,1.552628025146483,9
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,00-0023564,2016,Darren Sproles,phi,15,RB,REG,94,438.0,2,0.0,0.0,22.0,-2.677650083065388,0,52,71,427.0,2,0.0,0.0,35.0,407.0,19.0,1.8881518461122595,0,12.494246031746032,1.8808697339888245,0.1231877972447517,2.907536059054563,0.0,110.5,15,0.1252204585537918,0.0080422794117647,0.2468162522741055,0.1942645113600996,0.1176957001102535,0.125,0.1043956043956044,0.106060606060606,0.1213478500551268,0.1191565600882028,0.7530864197530864,0.1293460264900662,33.0,ACT,4.659574468085107,29.2,6.266666666666667,8.211538461538462,3.466666666666667,6.014084507042254,73.23943661971832,146,5.924657534246576,4,10.483840995801057,31.089742945618564,3.703018197427929,2.532775706652434,8
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,00-0023564,2017,Darren Sproles,phi,3,RB,REG,15,61.0,0,0.0,0.0,4.0,-2.160736470046686,0,7,12,73.0,0,0.0,0.0,-8.0,78.0,3.0,-7.026551285282562,0,5.023809523809524,0.2994152046783626,-0.0100374064837905,0.4420966224788905,0.0,13.4,3,0.1034482758620689,-0.0068434559452523,0.2635135135135135,0.1496976490369015,0.0894607843137254,0.0,0.0681818181818181,0.0612244897959183,0.0447303921568627,0.0715686274509804,0.6293103448275862,0.0728467361805456,34.0,RES,4.066666666666666,20.33333333333333,5.0,10.428571428571429,2.333333333333333,6.083333333333333,58.333333333333336,22,6.090909090909091,0,14.479459057716928,39.1457481337325,0.7646881492540736,0.4176108758963275,7
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,00-0023564,2018,Darren Sproles,phi,6,RB,REG,29,120.0,1,0.0,0.0,6.0,0.2813008945524766,0,15,23,160.0,2,0.0,0.0,28.0,127.0,6.0,11.52043788039009,0,29.11827956989248,0.6334665317739999,0.0842107017676005,1.0091472888983204,0.0,46.0,6,0.1040723981900452,0.0182410423452768,0.1506524317912218,0.1707014311612893,0.0969696969696969,0.1666666666666666,0.0759493670886076,0.0879120879120879,0.1318181818181818,0.1109090909090909,0.7239819004524887,0.1031450794724382,35.0,ACT,4.137931034482759,20.0,4.833333333333333,10.666666666666666,2.5,6.956521739130435,65.21739130434783,44,6.363636363636363,3,8.996757758541953,35.02757656967478,1.310973625999524,0.6876502745382385,6
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,00-0023564,2019,Darren Sproles,phi,6,RB,REG,17,66.0,0,0.0,0.0,3.0,-4.897604307479924,1,6,10,24.0,0,0.0,0.0,15.0,25.0,1.0,-4.460892850045248,0,-3.333333333333333,0.2555269789312342,0.0514779129386187,0.4193250074538845,0.0,11.0,6,0.0458715596330275,0.0079914757591901,0.0467289719626168,0.0752005200568934,0.0169611307420494,0.0,0.0138888888888888,0.0120481927710843,0.0084805653710247,0.0135689045936395,0.110091743119266,0.0307636626854867,36.0,RES,3.882352941176471,11.0,2.833333333333333,4.0,1.0,2.4,60.0,23,3.9130434782608696,0,10.961506869734636,32.49816205350373,0.2034844480261125,0.3731095685417669,5
