,player_id,season,player_display_name,team,GP,position,age,season_type,carries,rushing_yards,rushing_tds,rushing_fumbles_lost,rushing_first_downs,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_2pt_conversions,special_teams_tds,rrtd,fantasy_points,oline,qb,rb,wrte,dst
33,00-0022127,2017,Jason Witten,dal,16,TE,35.0,REG,0,0.0,0,0.0,0.0,0,63,87,560.0,5,1.0,602.0,105.0,26.0,0,0.0,5,84.0,51.32195315601429,12.12233690204503,14.961971087043954,34.50203579812816,100.89640609012858
34,00-0022127,2019,Jason Witten,dal,16,TE,37.0,REG,0,0.0,0,0.0,0.0,0,63,83,529.0,4,1.0,546.0,162.0,27.0,1,0.0,4,76.9,56.697873829731385,14.409648063239125,12.615725275527184,41.01207525691135,103.91728765593568
35,00-0022127,2020,Jason Witten,rai,10,TE,38.0,REG,0,0.0,0,0.0,0.0,0,13,17,69.0,2,0.0,91.0,20.0,8.0,0,0.0,2,18.9,52.84396124090781,13.424693496197552,11.779316965252644,38.20874302763919,78.06591920404783
36,00-0022165,2013,Dallas Clark,rav,11,TE,34.0,REG,0,0.0,0,0.0,0.0,0,31,52,343.0,3,0.0,324.0,181.0,19.0,0,0.0,3,52.3,35.83735354927636,9.386020440364756,6.904745642344119,26.714058176422764,114.27314635605444
37,00-0022414,2013,Malcom Floyd,sdg,2,WR,31.0,REG,0,0.0,0,0.0,0.0,0,6,11,149.0,0,0.0,177.0,12.0,5.0,0,0.0,0,14.900000000000002,58.39233130756218,14.835919960170887,13.009566953032737,42.225310655870985,91.01093811038564
38,00-0022414,2014,Malcom Floyd,sdg,16,WR,32.0,REG,0,0.0,0,0.0,0.0,0,52,92,856.0,6,0.0,1568.0,124.0,39.0,0,0.0,6,121.6,46.305754170922704,12.298630600691723,8.264479617831388,35.00379478658414,97.4577157701656
39,00-0022414,2015,Malcom Floyd,sdg,15,WR,33.0,REG,0,0.0,0,0.0,0.0,0,30,69,561.0,3,1.0,1387.0,86.0,19.0,0,0.0,3,72.10000000000001,43.972332015810274,11.857233929916957,7.162052534676359,33.74751195437902,91.7373486021551
40,00-0022427,2013,Wes Welker,den,13,WR,32.0,REG,0,0.0,0,0.0,0.0,0,73,111,778.0,10,0.0,829.0,322.0,49.0,0,0.0,10,137.8,70.92287450660986,18.75997934731319,12.9536826874965,53.39378737312215,98.901065724723
41,00-0022427,2014,Wes Welker,den,14,WR,33.0,REG,0,0.0,0,0.0,0.0,0,49,64,464.0,2,0.0,408.0,193.0,24.0,0,0.0,2,58.400000000000006,57.20122574055158,14.908261386920742,11.302004015889816,42.43120548585134,106.35701199716492
42,00-0022427,2015,Wes Welker,ram,7,WR,34.0,REG,0,0.0,0,0.0,0.0,0,13,22,102.0,0,0.0,119.0,50.0,5.0,0,0.0,0,10.2,31.86758893280632,7.51386721120427,9.34161744550501,21.385622062658307,119.30841125342732
43,00-0022811,2013,Jerricho Cotchery,pit,15,WR,31.0,REG,1,-5.0,0,0.0,0.0,0,46,76,607.0,10,0.0,763.0,218.0,36.0,0,0.0,10,120.2,46.36300983647641,12.262456404151788,8.472317941649438,34.900837457970475,96.20459621488186
