,season,season_type,player_display_name,player_position_x,team_abbr_x,avg_cushion / game,avg_separation / game,avg_intended_air_yards / game,percent_share_of_intended_air_yards / game,receptions / game,targets / game,catch_percentage / game,yards / game,rec_touchdowns / game,avg_yac / game,avg_expected_yac / game,avg_yac_above_expectation / game,player_position_y,team_abbr_y,efficiency / game,percent_attempts_gte_eight_defenders / game,avg_time_to_los / game,rush_attempts / game,rush_yards / game,expected_rush_yards / game,rush_yards_over_expected / game,avg_rush_yards / game,rush_yards_over_expected_per_att / game,rush_pct_over_expected / game,rush_touchdowns / game,player_id,team,GP,position,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh,age,status,y/c,y/g,c/g,y/rec,rec/g,y/tgt,catch %,touches,y/touch,rrtd,team_rush_yards,rb,team_receiving_yards,wrte,AV
428,2019,REG,Jaron Brown,WR,SEA,5.706,2.5227436326165,10.088777777777777,13.986116557544577,3.0,5.666666666666667,53.333333333333336,39.66666666666666,0.6666666666666666,1.7588888888888885,1.8772801279940008,-0.1183912391051128,,,,,,,,,,,,,,00-0030300,sea,8,WR,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,16,28,220.0,2,1.0,1.0,256.0,59.0,10.0,-1.356559559405956,0,10.287357769666617,0.8623984558435913,0.8188728162751369,1.8668086551579828,0.0,48.0,8,0.1025641025641025,0.0984615384615384,0.0726600985221674,0.2326153846153846,0.0995925758261656,0.125,0.099009900990099,0.1025641025641025,0.1122962879130828,0.1046740606609325,0.8058608058608059,0.0592914669697119,29.0,ACT,,0.0,0.0,13.75,2.0,7.857142857142857,57.14285714285714,16,13.75,2,2200,12.65483272902486,3791,33.52421545083396,1.945483355099834
429,2016,REG,Chris Thompson,,,,,,,,,,,,,,,RB,WAS,3.6845205479452057,0.0,3.1795000000000004,12.0,73.0,,,6.083333333333333,,,0.0,00-0030404,was,16,RB,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,68,356.0,3,1.0,1.0,16.0,5.75279020742164,0,49,62,349.0,2,1.0,0.0,103.0,252.0,18.0,5.648431458406755,0,4.447119804859741,1.6410497618751472,0.3297401715197448,2.692392762876542,0.0,147.5,16,0.1021416803953871,0.0194449688502926,0.1278538812785388,0.1687684956733148,0.0705335489086499,0.08,0.079646017699115,0.0796812749003984,0.0752667744543249,0.0724268391269199,0.5749588138385503,0.0929239220825038,25.0,ACT,5.235294117647059,22.25,4.25,7.122448979591836,3.0625,5.629032258064516,79.03225806451613,117,6.0256410256410255,5,1696,10.020493237408392,4758,40.04212945754786,5.0404543370398684
430,2017,REG,Chris Thompson,,,,,,,,,,,,,,,RB,WAS,7.496666666666666,12.5,2.827454545454545,16.0,33.0,-2.6495226864190045,-6.350477313580996,2.0625,-6.350477313580996,0.0,0.0,00-0030404,was,13,RB,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,64,294.0,2,1.0,0.0,11.0,-7.631790085375542,0,39,54,510.0,4,0.0,0.0,133.0,485.0,22.0,24.60108194201008,0,159.95088089330025,1.5844729344729345,0.5702297477975429,2.7758702251676817,0.0,155.4,10,0.1565217391304348,0.0508604206500956,0.332875772134523,0.2754709452157287,0.1824034334763948,0.2352941176470588,0.1629629629629629,0.1710526315789473,0.2088487755617268,0.1929815703105276,1.4782608695652173,0.1678113256446806,26.0,RES,4.59375,22.615384615384617,4.923076923076923,13.076923076923077,3.0,9.444444444444445,72.22222222222221,103,7.805825242718447,6,1448,8.734717366027887,3751,32.56741673151332,6.201473310770776
431,2018,REG,Chris Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0030404,was,10,RB,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,43,178.0,0,1.0,0.0,9.0,-9.594295861970744,0,41,55,268.0,1,0.0,0.0,80.0,219.0,12.0,-2.2127166053711487,0,-15.689137529137527,1.7800297436330226,0.3079341305005078,2.885598506799889,0.0,91.6,10,0.1845637583892617,0.0347071583514099,0.2117988394584139,0.3046113642650206,0.1336658354114713,0.125,0.1304347826086956,0.13,0.1293329177057356,0.131932668329177,0.8993288590604027,0.1333333333333333,27.0,ACT,4.1395348837209305,17.8,4.3,6.536585365853658,4.1,4.872727272727273,74.54545454545455,84,5.309523809523809,1,1774,9.638099927271195,3021,25.28961062903829,3.210570489712914
432,2019,REG,Chris Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0030404,was,11,RB,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,37,138.0,0,0.0,0.0,7.0,-7.223062894685427,0,42,58,378.0,0,1.0,0.0,101.0,337.0,16.0,-1.609837826728408,0,21.40811439518336,1.8403480723248165,0.4433530433915249,3.070869238861292,0.0,93.6,11,0.1615598885793872,0.037984204588191,0.2974404236540159,0.2727271965396336,0.1542227662178702,0.0,0.135593220338983,0.1194029850746268,0.0771113831089351,0.1233782129742962,1.052924791086351,0.1079784043191361,28.0,ACT,3.72972972972973,12.545454545454543,3.363636363636364,9.0,3.8181818181818175,6.517241379310345,72.41379310344827,79,6.531645569620253,0,1583,8.994478683435315,2812,24.422920317962483,4.067129040489693
433,2016,REG,Spencer Ware,,,,,,,,,,,,,,,FB,KC,3.5152857142857137,0.0,3.0491818181818187,11.0,70.0,,,6.363636363636363,,,1.0,00-0030414,kan,14,RB,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,214,921.0,3,3.0,2.0,47.0,-26.414856297836643,0,33,42,447.0,2,1.0,0.0,116.0,388.0,17.0,12.154588659020328,0,-5.148176158872255,1.238316729423646,0.4469223917277525,2.170320768344896,0.0,195.8,14,0.0865979381443299,0.034761762061732,0.2130697419000549,0.1577063168658805,0.1290788333814611,0.125,0.0977011494252873,0.1,0.1270394166907306,0.1282630667051689,0.9216494845360824,0.1615218359703684,24.0,ACT,4.303738317757009,65.78571428571429,15.285714285714286,13.545454545454543,2.357142857142857,10.642857142857142,78.57142857142857,247,5.538461538461538,5,1748,10.210915913987256,3740,32.34164764893135,9.245439974599552
434,2016,REG,Spencer Ware,,,,,,,,,,,,,,,RB,KC,4.226087212169452,23.268777805505508,2.8003904328818505,31.53846153846154,134.84615384615384,,,4.310692730888738,,,0.3846153846153846,00-0030414,kan,14,RB,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,214,921.0,3,3.0,2.0,47.0,-26.414856297836643,0,33,42,447.0,2,1.0,0.0,116.0,388.0,17.0,12.154588659020328,0,-5.148176158872255,1.238316729423646,0.4469223917277525,2.170320768344896,0.0,195.8,14,0.0865979381443299,0.034761762061732,0.2130697419000549,0.1577063168658805,0.1290788333814611,0.125,0.0977011494252873,0.1,0.1270394166907306,0.1282630667051689,0.9216494845360824,0.1615218359703684,24.0,ACT,4.303738317757009,65.78571428571429,15.285714285714286,13.545454545454543,2.357142857142857,10.642857142857142,78.57142857142857,247,5.538461538461538,5,1748,10.210915913987256,3740,32.34164764893135,9.245439974599552
435,2018,REG,Spencer Ware,,,,,,,,,,,,,,,RB,KC,4.148448226950356,7.142857142857142,2.791358333333333,14.5,61.0,68.09076487695899,-7.090764876958978,4.178571428571429,-0.4867669136186137,0.3095238095238095,0.5,00-0030414,kan,11,RB,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,51,246.0,2,0.0,0.0,14.0,-1.357684352697106,0,20,23,224.0,0,0.0,0.0,5.0,245.0,9.0,14.524497246616049,0,8.659523809523808,0.6415901148541217,-0.0150641729383096,0.9518402512243656,0.0,79.0,11,0.0572139303482587,0.0013575889220743,0.1352097130242825,0.0869069666600475,0.0636544472861608,0.0,0.0548780487804878,0.0456852791878172,0.0318272236430804,0.0509235578289286,0.5572139303482587,0.0613754311818266,26.0,ACT,4.823529411764706,22.363636363636363,4.636363636363637,11.2,1.818181818181818,9.73913043478261,86.95652173913044,71,6.619718309859155,2,1855,13.751559135898734,4955,52.65367870818229,4.203964473179908
436,2016,REG,Dion Sims,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0030422,mia,13,TE,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,26,35,256.0,4,0.0,0.0,219.0,130.0,14.0,11.375356719628142,0,26.589970932533863,1.2881819643105912,0.8964675225239425,2.559800212232646,0.0,75.60000000000001,13,0.0888324873096446,0.0700127877237851,0.0881953867028493,0.1892589611434951,0.0805791627321372,0.16,0.0985915492957746,0.1077844311377245,0.1202895813660686,0.0964633301857098,0.649746192893401,0.0669334561036937,25.0,ACT,,0.0,0.0,9.846153846153848,2.0,7.314285714285714,74.28571428571429,26,9.846153846153848,4,1824,10.462829189878882,3500,30.265339567784512,2.2136934083865243
437,2017,REG,Dion Sims,TE,CHI,4.093333333333333,2.645143217438908,10.106000000000002,18.524085343500257,3.0,5.0,60.0,15.0,0.0,1.5899999999999987,1.585353352045786,0.0046466479542128,,,,,,,,,,,,,,00-0030422,chi,12,TE,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,15,29,180.0,1,0.0,0.0,257.0,67.0,9.0,-4.312320658675162,0,15.223612199582028,1.1289306240743828,1.4087652326726026,2.679531598982396,0.0,39.0,12,0.0765171503957783,0.0942773294203961,0.0649854510184287,0.1901975891299845,0.0749687630154102,0.1,0.0782608695652174,0.08,0.0874843815077051,0.0799750104123282,0.4749340369393139,0.0472589792060491,26.0,ACT,,0.0,0.0,12.0,1.25,6.206896551724138,51.72413793103448,15,12.0,1,1788,9.303193313721518,2811,22.896597646536037,1.4661642036202371
438,2016,REG,Robert Woods,WR,BUF,6.306651761252446,3.429320308876098,10.55290751397725,26.68067658897248,9.6,14.2,67.28378638904954,114.1,0.2,2.556308823529412,3.8674107499461874,-1.3111019264167756,,,,,,,,,,,,,,00-0030431,buf,13,WR,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,6.0,0,0.0,0.0,1.0,-0.3512571898463648,0,51,76,613.0,1,0.0,0.0,837.0,124.0,31.0,19.63170588695452,0,10.22387766305192,2.590899282592082,3.2459503189294856,6.158514147138763,0.0,118.9,13,0.193384223918575,0.2306420501515569,0.1271794871794871,0.4745899759991081,0.2294161676646706,0.0666666666666666,0.2440944881889764,0.2253521126760563,0.1480414171656686,0.1968662674650698,1.559796437659033,0.1082996320180711,24.0,ACT,6.0,0.4615384615384615,0.0769230769230769,12.019607843137257,3.923076923076923,8.06578947368421,67.10526315789474,52,11.903846153846152,1,2630,16.760104607405356,3036,32.53496070110072,6.607383183576057
439,2017,REG,Robert Woods,WR,LAR,6.683322911656244,3.1065391792606167,10.450484949282744,30.000375767164996,9.25,13.833333333333334,67.18572277395806,129.5,0.8333333333333334,4.99186011904762,5.025674059910934,-0.0338139408633148,,,,,,,,,,,,,,00-0030431,ram,12,WR,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,2,12.0,0,0.0,0.0,0.0,0.319563522003591,0,56,85,781.0,5,1.0,1.0,866.0,304.0,36.0,42.78340392170647,0,12.384680109413832,2.770011006578512,3.5422516611153045,6.634592672648481,0.0,163.3,12,0.2219321148825065,0.2783670845387335,0.1902377972465582,0.5555918399547466,0.2534891269068484,0.2272727272727272,0.2517482517482518,0.2484848484848484,0.2403809270897878,0.2482458469800242,2.039164490861619,0.1460853073785157,25.0,ACT,6.0,1.0,0.1666666666666666,13.946428571428571,4.666666666666667,9.188235294117646,65.88235294117646,58,13.672413793103448,5,1953,14.262113533200164,3831,42.01394388539219,8.652729965214888
440,2018,REG,Robert Woods,WR,LAR,6.388291857448108,3.0275427596003683,11.545947226384726,32.04500513891715,10.625,16.0625,68.31912878787878,150.875,0.75,5.158831153100775,4.69160196867992,0.4672291844208556,,,,,,,,,,,,,,00-0030431,ram,16,WR,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,19,157.0,1,0.0,0.0,9.0,6.537952824612148,0,86,130,1219.0,6,0.0,0.0,1483.0,420.0,66.0,61.29313524729047,0,15.80715122422166,3.866402927451286,5.091336146389879,9.363539693649845,0.0,265.6,16,0.2288732394366197,0.3022829188748471,0.1940850277264325,0.5851361942548072,0.2577167019027484,0.1875,0.2796610169491525,0.2686567164179104,0.2226083509513742,0.2436733615221987,2.1461267605633805,0.156299652798211,26.0,ACT,8.263157894736842,9.8125,1.1875,14.174418604651162,5.375,9.376923076923076,66.15384615384615,105,13.104761904761904,7,2231,14.251177358149777,4507,43.020588487939655,12.638583725358615
441,2019,REG,Robert Woods,WR,LAR,7.21570856761168,3.3829249420495064,8.592616985194601,28.22405198347728,13.538461538461538,20.76923076923077,64.09581057201423,169.15384615384616,0.3076923076923077,5.871775852352775,5.130070578390633,0.7417052739621417,,,,,,,,,,,,,,00-0030431,ram,15,WR,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,17,115.0,1,0.0,0.0,5.0,5.273380541300867,0,90,139,1134.0,2,0.0,0.0,1169.0,576.0,54.0,22.652444483029544,0,15.567087335851964,3.4280440098694487,3.839094114525764,7.829431894972207,0.0,232.9,15,0.2263843648208469,0.2481426448736998,0.2656826568265683,0.5380906631302302,0.2522241992882562,0.0909090909090909,0.25,0.2352941176470588,0.1715666450986736,0.2199611776124231,1.8469055374592835,0.1610271443782236,27.0,ACT,6.764705882352941,7.666666666666667,1.1333333333333333,12.6,6.0,8.158273381294965,64.74820143884892,107,11.67289719626168,3,1499,8.238024212165096,4499,34.92792368068792,9.435796357741834
442,2020,REG,Robert Woods,WR,LAR,7.088112831419163,3.5000026827674597,7.00377865078378,23.82845721583031,10.588235294117649,15.176470588235292,69.6289650462017,110.11764705882354,0.7058823529411765,5.300270774976658,5.547291452834148,-0.2470206778574896,,,,,,,,,,,,,,00-0030431,ram,16,WR,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,24,155.0,2,1.0,1.0,9.0,1.1141883827513084,0,90,129,936.0,6,1.0,0.0,898.0,494.0,46.0,12.133043185558313,0,28.814472120189905,3.732802794890164,3.7324902436867298,8.211947362915957,0.0,245.1,16,0.2186440677966101,0.2280924561849123,0.220044543429844,0.5104400666428451,0.2237628496294525,0.3,0.2233009708737864,0.2300884955752212,0.2618814248147262,0.239010279703562,1.5864406779661018,0.1686831564603377,28.0,ACT,6.458333333333333,9.6875,1.5,10.4,5.625,7.255813953488372,69.76744186046511,114,9.570175438596491,8,2018,9.227458977393171,4014,27.49845959953884,7.120946184098279
