Unnamed: 0,Rank,Name,Team,Position,Final PPG,Bye Week,ESPN ADP,VBD,Normalized VBD,Normalized ADP,Weighted Score
190,72,Zamir White,LV,RB25,6.369758567068423,10,67.0,-5.061630894608932,0.5200770788443392,0.26506024096385544,0.6704809549786029
114,73,Jayden Reed,GB,WR29,9.100301150986834,10,89.0,-0.3635594843172001,0.717371280403494,0.3534136546184739,0.6678218258881164
129,74,Diontae Johnson,CAR,WR30,8.502186992070193,11,90.0,-0.9616736432338406,0.6922536427349434,0.357429718875502,0.6574752896076316
72,75,Javonte Williams,DEN,RB26,11.431389461677355,14,95.0,0.0,0.7326388597809572,0.37751004016064255,0.6555346298218373
83,76,Jordan Addison,MIN,WR31,11.046599203117584,6,106.0,1.58273856781355,0.7991055255131122,0.42168674698795183,0.6445509347623674
86,77,Tyjae Spears,TEN,RB27,10.875671762715376,5,97.0,-0.5557176989619794,0.7093016496506866,0.3855421686746988,0.6429109768229168
125,78,Christian Watson,GB,WR32,8.606218464797388,10,96.0,-0.8576421705066455,0.6966224154836446,0.3815261044176707,0.6419184515527238
95,79,T.J. Hockenson,MIN,TE11,10.234487372553856,6,119.0,3.0845486896589858,0.8621736236765143,0.4738955823293173,0.6269251794724322
128,80,DeAndre Hopkins,TEN,WR33,8.519466748341243,5,103.0,-0.944393886962791,0.6929793012911684,0.40963855421686746,0.6211468024355433
81,81,Zack Moss,CIN,RB28,11.156162624840256,12,107.0,-0.27522683683709914,0.7210807853544011,0.42570281124497994,0.6183322677348344
157,82,Jaxon Smith-Njigba,SEA,WR34,7.184657771562905,10,100.0,-2.279202863741129,0.636924369744029,0.39759036144578314,0.6127640579111604
118,83,Marquise Brown,KC,WR35,8.866885283559316,6,108.0,-0.5969753517447174,0.7075690460026997,0.42971887550200805,0.6114675009494043
152,84,Dallas Goedert,PHI,TE12,7.440485656012423,5,115.0,0.29054697311755273,0.7448402990675298,0.4578313253012048,0.6029701620094157
133,85,Ezekiel Elliott,DAL,RB29,8.21063002889157,7,104.0,-3.220759432785785,0.5973839636306815,0.41365461847389556,0.5896569561574775
117,86,Devin Singletary,NYG,RB30,8.926103674659396,11,111.0,-2.505285787017959,0.62743008029233,0.44176706827309237,0.5789920762965344
145,87,Courtland Sutton,DEN,WR36,7.740119205144544,14,117.0,-1.7237414301594898,0.6602508180809623,0.46586345381526106,0.571970827753606
115,88,Tyler Lockett,SEA,WR37,9.092325181850626,10,124.0,-0.3715354534534079,0.7170363317990641,0.4939759036144578,0.5693277670095989
85,89,Jerome Ford,CLE,RB31,10.916459062768158,10,125.0,-0.5149303989091969,0.7110145009666627,0.4979919678714859,0.5647099727799586
141,90,Jameson Williams,DET,WR38,7.8396656619012575,5,122.0,-1.6241949734027763,0.664431243832013,0.4859437751004016,0.5591687305793227
17,91,Tua Tagovailoa,MIA,QB10,16.96841167846766,6,127.0,-0.7953594391834287,0.6992379614543633,0.5060240963855421,0.5555545209664294
137,92,Dalton Schultz,HOU,TE13,8.029631194742317,14,137.0,0.8796925118474466,0.7695813020270048,0.5461847389558233,0.5485450733390251
96,93,Mike Williams,NYJ,WR39,10.223638605792893,12,138.0,0.7597779704888588,0.7645455242308546,0.5502008032128514,0.5442230950202605
4,94,Kirk Cousins,ATL,QB11,19.684059937722687,12,146.0,1.9202888200715975,0.8132808544277502,0.5823293172690763,0.5363537342399716
53,95,Aaron Rodgers,NYJ,QB12,13.868953987018642,12,120.0,-3.894817130632447,0.5690770981773101,0.4779116465863454,0.5361849768427512
97,96,Zach Charbonnet,SEA,RB32,10.045810162425392,10,132.0,-1.3855792992519635,0.6744518426692199,0.5261044176706827,0.534062460431288
14,97,Jared Goff,DET,QB13,17.60169571357227,5,144.0,-0.16207540407881993,0.7258325482868281,0.5742971887550201,0.5157417323575343
147,98,Gus Edwards,LAC,RB33,7.637873939939538,5,128.0,-3.7935155217378176,0.5733312310539925,0.5100401606425703,0.5149712568663984
143,99,Cole Kmet,CHI,TE14,7.810964988413935,7,148.0,0.6610263055190648,0.7603984755397317,0.5903614457831325,0.5148665306137267
130,100,J.K. Dobbins,LAC,RB34,8.427063104267788,5,133.0,-3.0043263574095675,0.6064730104050241,0.5301204819277109,0.5108575657721096
126,101,Jakobi Meyers,LV,WR40,8.593536177776874,10,145.0,-0.8703244575271594,0.6960898263692743,0.5783132530120482,0.5040076708023485
164,102,Jerry Jeudy,CLE,WR41,7.071377575173054,10,140.0,-2.3924830601309797,0.6321671994187249,0.5582329317269076,0.4988871076167821
87,103,Tyler Allgeier,ATL,RB35,10.81899654667851,12,149.0,-0.6123929149988445,0.7069215897240344,0.5943775100401606,0.4960122198890979
8,104,Justin Herbert,LAC,QB14,18.218027556757185,5,154.0,0.45425643910609637,0.751715232536853,0.6144578313253012,0.49539408783334504
187,105,Chase Brown,CIN,RB36,6.451377101243232,12,130.0,-4.980012360434123,0.5235046264753037,0.5180722891566265,0.4944007855329525
282,106,Pat Freiermuth,PIT,TE15,4.777960516522219,9,143.0,-2.371978166372651,0.6330282967262801,0.570281124497992,0.49071170186928964
203,107,Curtis Samuel,BUF,WR42,6.082443630308282,12,142.0,-3.381417004995752,0.5906371935913497,0.5662650602409639,0.48080561590873017
113,108,Adam Thielen,CAR,WR43,9.22152746670386,11,157.0,-0.24233316860017418,0.7224621457988039,0.6265060240963856,0.4781844268721712
156,109,Rashid Shaheed,NO,WR44,7.244759296520637,12,151.0,-2.219101338783397,0.639448316560386,0.6024096385542169,0.4701477479801639
32,110,Trevor Lawrence,JAX,QB15,15.375887649181731,12,152.0,-2.387883468469358,0.6323603579906423,0.606425702811245,0.46521011542932117
112,111,Kendre Miller,NO,RB37,9.228999747896069,12,156.0,-2.2023897137812867,0.6401501166020637,0.6224899598393574,0.45630206309306887
237,112,Darnell Mooney,ATL,WR45,5.3485083078840185,12,150.0,-4.115352327420015,0.5598157839557809,0.5983935742971888,0.4490692331787022
134,113,Romeo Doubs,GB,WR46,8.15136367126896,10,163.0,-1.3124969640350734,0.677520915000285,0.6506024096385542,0.44783458775309753
111,114,Ty Chandler,MIN,RB38,9.329929838664428,6,160.0,-2.1014596230129268,0.6443886476784144,0.6385542168674698,0.44632864249629545
25,115,Matthew Stafford,LAR,QB16,16.215784457740334,6,166.0,-1.5479866599107552,0.6676315907508872,0.6626506024096386,0.4364340555385191
122,116,Brandin Cooks,DAL,WR47,8.678021105228895,7,171.0,-0.7858395300751386,0.6996377473882939,0.6827309236947792,0.4319796776301427
213,117,Khalil Shakir,BUF,WR48,5.868698661528761,12,159.0,-3.595161973775273,0.5816610331055253,0.6345381526104418,0.4303216031043483
18,118,Baker Mayfield,TB,QB17,16.956648945932397,11,172.0,-0.8071221717186923,0.6987439887747198,0.6867469879518072,0.42890030506615084
56,119,Deshaun Watson,CLE,QB18,13.64496247897636,10,158.0,-4.118808638674729,0.559670637126415,0.6305220883534136,0.42653572929053496
79,120,Chuba Hubbard,CAR,RB39,11.197631549334044,11,180.0,-0.2337579123433109,0.7228222612991039,0.7188755020080321,0.41363382698410867
171,121,Antonio Gibson,NE,RB40,6.8431427707415855,14,162.0,-4.58824669093577,0.5399567167506122,0.6465863453815262,0.40937657325811533
217,122,Demario Douglas,NE,WR49,5.822687134737077,14,174.0,-3.641173500566957,0.5797287918413766,0.6947791164658634,0.38757325602630854
268,123,Tyler Conklin,NYJ,TE16,4.989789546772792,12,186.0,-2.1601491361220777,0.641923997906723,0.7429718875502008,0.37249687808687637
149,124,Jaleel McLaughlin,DEN,RB41,7.481091628149392,14,182.0,-3.950297833527963,0.5667472014976358,0.7269076305220884,0.3611888190838288
239,125,Rico Dowdle,DAL,RB42,5.338282664709166,7,177.0,-6.093106796968189,0.47676053534998614,0.7068273092369478,0.3482490441391324
6,126,Russell Wilson,PIT,QB19,18.88765353472933,9,210.0,1.1238824170782422,0.7798359891472935,0.8393574297188755,0.34640059594097516
159,127,Dontayvion Wicks,GB,WR50,7.152755977820455,10,195.0,-2.311104657483579,0.6355846627930165,0.7791164658634538,0.3452938727334872
19,128,Justin Fields,PIT,QB20,16.68916561707842,9,202.0,-1.0746055005726696,0.6875111008111557,0.8072289156626506,0.3411930892794912
