Rank,Name,Team,Position,Final PPG
250,Mike Gesicki,cin,TE,2.2407226748649225
251,Hayden Hurst,sdg,TE,2.2401629739024687
252,Mo Alie-Cox,clt,TE,2.2277834431787
253,Damiere Byrd,was,WR,2.216865981771211
254,Andrew Ogletree,clt,TE,2.2116312433348093
255,Pat Freiermuth,pit,TE,2.1948919713974617
256,Nick Westbrook-Ikhine,oti,WR,2.181210288520767
257,Olamide Zaccheaus,was,WR,2.168063156518194
258,Josh Reynolds,den,WR,2.1645939780790706
259,Tyler Boyd,oti,WR,2.160216198325974
260,Luke Schoonmaker,dal,TE,2.132846520250395
261,Eric Tomlinson,clt,TE,2.131889379914619
262,Adam Trautman,den,TE,2.1200236763815825
263,Josh Whyle,oti,TE,2.1103285427541767
264,David Bell,cle,WR,2.1093498205032244
265,Cade Otton,tam,TE,2.089120547770311
266,Devin Asiasi,oti,TE,2.0821864954308027
267,Quintin Morris,buf,TE,2.0558340403523645
268,Andrei Iosivas,cin,WR,2.050378376354841
269,Ko Kieft,tam,TE,2.0421815333419273
270,A.T. Perry,nor,WR,2.0241801150658922
271,Lawrence Cager,nyg,WR,2.0156722130929783
272,Scott Miller,pit,WR,2.0119376956431463
273,David Moore,car,WR,1.9977023917743415
274,Jelani Woods,clt,TE,1.9934278534886314
275,Isaiah Hodgins,nyg,WR,1.9836036696959862
276,Quez Watkins,pit,WR,1.9638042084461214
277,Tommy Tremble,car,TE,1.9248614462029925
278,Donald Parham,sdg,TE,1.8877861813739836
279,Juwan Johnson,nor,WR,1.8087828875510996
