,Rank,Name,Team,Position,Final PPG,Bye Week,ESPN ADP
239,240,Charlie Woerner,Atlanta Falcons,TE,8.120271709132094,12.0,
240,241,Xavier Hutchinson,Houston Texans,WR,8.101913340455194,14.0,
241,242,Devin Duvernay,Jacksonville Jaguars,WR,8.091567025476685,12.0,
242,243,Donovan Peoples-Jones,Detroit Lions,WR,8.059396158903024,5.0,247.0
243,244,John Metchie,Houston Texans,WR,8.018402365052511,14.0,
244,245,Trey Palmer,Tampa Bay Buccaneers,WR,7.998916268876302,11.0,
245,246,Brock Wright,Detroit Lions,TE,7.947235625770544,5.0,
246,247,Chris Olave,New Orleans Saints,WR,7.934091314350684,12.0,36.0
247,248,Ross Dwelley,Atlanta Falcons,TE,7.923450370500632,12.0,
248,249,Travis Homer,Chicago Bears,RB,7.919498043506412,7.0,
249,250,Mason Rudolph,Tennessee Titans,QB,7.919095537628261,5.0,
250,251,Ben Skowronek,Houston Texans,WR,7.910602001449821,14.0,
251,252,Steven Sims,Houston Texans,WR,7.896074512410264,14.0,
252,253,Noah Brown,Houston Texans,WR,7.863442036787235,14.0,232.0
253,254,Isiah Pacheco,Kansas City Chiefs,RB,7.862981230264381,6.0,15.0
254,255,Kirk Cousins,Atlanta Falcons,QB,7.856326289828885,12.0,119.0
255,256,Quintin Morris,Buffalo Bills,TE,7.844512899327738,12.0,
256,257,Evan Engram,Jacksonville Jaguars,TE,7.839008298894937,12.0,51.0
257,258,Gus Edwards,San Diego Chargers,RB,7.812422277835305,,113.0
258,259,Skylar Thompson,Miami Dolphins,QB,7.7714206084506205,6.0,
259,260,Chuba Hubbard,Carolina Panthers,RB,7.733308326652803,11.0,120.0
260,261,Dalton Schultz,Houston Texans,TE,7.630207167517276,14.0,108.0
261,262,Mike Boone,Carolina Panthers,RB,7.6189684775224515,11.0,
262,263,Brevin Jordan,Houston Texans,TE,7.574190308034431,14.0,
263,264,Amon-Ra St. Brown,Detroit Lions,WR,7.543148533540378,5.0,8.0
264,265,J.K. Dobbins,San Diego Chargers,RB,7.542413462503127,,192.0
265,266,Ko Kieft,Tampa Bay Buccaneers,TE,7.526418284283133,11.0,
266,267,Kenneth Gainwell,Philadelphia Eagles,RB,7.407633061465573,5.0,215.0
267,268,Chris Godwin,Tampa Bay Buccaneers,WR,7.402708097561159,11.0,71.0
268,269,Rashaad Penny,Carolina Panthers,RB,7.389931069735602,11.0,
269,270,Devin Singletary,New York Giants,RB,7.366915045153955,11.0,117.0
270,271,Tommy Tremble,Carolina Panthers,TE,7.3560705214441855,11.0,
271,272,James Mitchell,Detroit Lions,TE,7.329617049374246,5.0,
272,273,Anthony Firkser,Detroit Lions,TE,7.309529807039703,5.0,
273,274,Tyler Huntley,Cleveland Browns,QB,7.305230498299852,10.0,
274,275,Parker Hesse,Detroit Lions,TE,7.303735256401581,5.0,
275,276,Kendrick Bourne,New England Patriots,WR,7.29456657319512,14.0,177.0
276,277,Stefon Diggs,Houston Texans,WR,7.272293520211381,14.0,19.0
277,278,Tank Dell,Houston Texans,WR,7.263758911479853,14.0,55.0
278,279,Sam LaPorta,Detroit Lions,TE,7.257498137404155,5.0,30.0
279,280,Cade Otton,Tampa Bay Buccaneers,TE,7.257399125064245,11.0,222.0
280,281,Raheem Blackshear,Carolina Panthers,RB,7.225086463038074,11.0,
281,282,Stephen Sullivan,Carolina Panthers,TE,7.214217457619682,11.0,
282,283,Ian Thomas,Carolina Panthers,TE,7.185150555182278,11.0,
283,284,Quentin Johnston,San Diego Chargers,WR,7.180278183021736,,122.0
