team,position,penalty,GP,player_display_name,age,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,games,ppr_sh,status,comp %,td:int,yards/attempts,yards/comp,yards/carry,passer rating,PPG,oline,rb,wr,qb,te
htx,QB,0.8875,8,Tim Boyle,30.0,13.875,22.375,114.875,0.5,1.5,1.125,8.0,0.25,0.0,146.375,60.875,5.75,-40.39556775320827,0.125,4.994878824964253,-0.030272794745761777,1.0,2.0,0.0,0.125,0.0,0.5,4.569534776092041,0.0,0,0.09448059412809959,0,1.5223127935893892,0.75,14.396069356175738,32.62295081967213,6.75,55.65289099198673,3.045,32.328801453543015,7.2364731804188915,0,8.20510302659651,0
was,QB,0.9125,8,Jeff Driskel,31.0,3.375,5.75,34.25,0.375,0.25,0.625,4.875,0.0,0.0,34.625,19.125,1.625,-12.968549075420013,0.0,8.177923256416904,-0.0333375575546974,3.375,13.5,0.0,0.0,0.0,1.0,-8.570085942104924,0.0,0,0.2569361061534151,0,1.2,inf,11.784615384615385,20.483516483516485,8.464285714285715,163.52564102564102,3.7200000000000006,37.84224046112399,9.878284986168143,0,9.238424927466967,0
htx,QB,0.8666666666666667,9,Case Keenum,36.0,9.222222222222221,14.666666666666666,84.55555555555556,0.4444444444444444,0.4444444444444444,1.2222222222222223,9.88888888888889,0.1111111111111111,0.1111111111111111,94.22222222222223,50.77777777777778,4.333333333333333,-34.713856472985185,0.0,5.916134759637323,0.1654281692464007,2.111111111111111,2.5555555555555554,0.0,0.1111111111111111,0.0,0.6666666666666666,-11.552999344045745,0.0,0,0.1329654203474378,0,1.5800014974543277,3.3333333333333335,13.05008984725966,22.388610763454317,2.333333333333333,183.09842018568435,4.082222222222223,32.328801453543015,7.2364731804188915,0,8.20510302659651,0
nor,QB,1.0,16,Taysom Hill,34.0,0.375,0.6875,5.1875,0.0625,0.0,0.125,0.25,0.0,0.0,7.875,1.125,0.25,1.4584068846306764,0.0,6.122959183673469,0.0,5.0625,25.0625,0.25,0.0625,0.0625,1.625,7.237411890945668,0.0,0,0.0991612198930451,0,0.5454545454545454,inf,7.545454545454546,13.833333333333334,4.950617283950617,109.28030303030305,4.33875,57.38988785163836,9.437816045639485,0,15.451812837844908,0
clt,QB,0.8571428571428571,7,Sam Ehlinger,26.0,9.142857142857142,14.428571428571429,81.85714285714286,0.42857142857142855,0.42857142857142855,2.0,12.428571428571429,0.14285714285714285,0.14285714285714285,103.14285714285714,42.0,4.0,-40.58373256801548,0.0,3.114859014317274,0.1492608255816971,2.857142857142857,13.714285714285714,0.0,0.14285714285714285,0.0,0.8571428571428571,5.6237351857468045,0.0,0,0.14697868813490952,0,0.6336633663366337,1.0,5.673267326732673,8.953125,8.117647058823529,76.05198019801982,4.931428571428572,49.37034020424785,11.22889973391381,0,12.484032212907744,0
sea,QB,0.9454545454545454,11,P.J. Walker,29.0,10.636363636363637,19.727272727272727,127.72727272727273,0.36363636363636365,0.7272727272727273,1.6363636363636365,12.363636363636363,0.2727272727272727,0.18181818181818182,158.0909090909091,73.27272727272727,5.181818181818182,-54.89664540084443,0.0,6.829702825637208,0.012738749940379601,1.7272727272727273,6.2727272727272725,0.0,0.09090909090909091,0.0,0.5454545454545454,-3.8197072183114553,0.0,0,0.1467059987882628,0,1.080826109127996,1.2,12.968298487166411,24.084656084656082,8.807692307692307,130.14582979205622,5.00909090909091,53.12950316396216,15.29204594774266,0,12.600473040743104,0
cle,QB,0.9666666666666666,9,Jameis Winston,30.0,10.88888888888889,18.0,124.66666666666667,0.6666666666666666,0.8888888888888888,1.4444444444444444,9.666666666666666,0.1111111111111111,0.0,213.88888888888889,31.88888888888889,5.0,-16.801942552185565,0.1111111111111111,4.006305271767358,0.1465931572933396,1.1111111111111112,1.1111111111111112,0.0,0.2222222222222222,0.0,0.0,-7.689800737425685,0.0,0,0.19266432017036259,0,1.1666975023126733,1.4666666666666668,13.077890841813137,22.31342465753425,2.0,136.9495837187789,5.32,35.0855209573335,6.38429149507052,0,9.286766749969717,0
mia,QB,0.96,10,Mike White,29.0,10.8,18.1,126.6,0.4,0.5,0.9,7.6,0.2,0.1,132.6,61.9,5.7,-14.868768691430404,0.0,6.16508171809598,0.2561724384163461,1.4,0.0,0.1,0.1,0.1,0.3,-9.230871074396418,0.0,0,0.1656603272868433,0,1.421904761904762,1.75,19.144761904761907,26.372815533980585,0.375,184.7301587301587,5.663999999999999,39.09529478102876,8.02253454026843,0,10.11187299121118,0
sfo,QB,0.7636363636363637,11,Brandon Allen,32.0,10.0,16.272727272727273,99.63636363636364,0.6363636363636364,0.36363636363636365,1.0909090909090908,7.636363636363637,0.18181818181818182,0.09090909090909091,102.18181818181819,62.63636363636363,4.363636363636363,-20.8400097830825,0.0,9.446874241431004,0.22478674195955908,2.090909090909091,2.272727272727273,0.0,0.0,0.0,0.6363636363636364,-3.8944152836249146,0.0,0,0.1858362413443978,0,2.1338028169014085,inf,18.229770781552055,26.375816993464056,1.600732600732601,279.6321228021725,5.667272727272727,49.1197293402669,14.891843060300976,0,11.45347635848502,0
nwe,QB,1.0,10,Bailey Zappe,25.0,12.7,21.2,127.2,0.6,0.9,2.5,19.1,0.2,0.1,168.6,63.7,5.3,-81.79545271547397,0.0,9.369872497106094,-0.0017343172240964,1.7,8.3,0.1,0.0,0.0,0.6,4.63150148303248,0.0,0,0.1198877027589075,0,0.5990566037735849,0.6666666666666666,6.0,10.015748031496065,4.882352941176471,68.75,6.718000000000001,52.62828143600025,12.60448542669046,0,13.14285759709256,0
cle,QB,0.95,10,Tyler Huntley,26.0,9.6,14.9,86.1,0.5,0.3,1.1,6.2,0.0,0.0,107.9,32.8,4.4,-3.3698763419995323,0.0,7.135078327145707,0.5891998787907552,5.8,19.2,0.1,0.3,0.0,1.5,-8.851080449479191,0.1,0,0.22555032265855418,0,1.2372104247104247,inf,11.361486486486488,18.439999999999998,6.852713178294573,176.42575611325609,6.764000000000001,35.0855209573335,6.38429149507052,0,9.286766749969717,0
oti,QB,0.8399999999999999,10,Mason Rudolph,29.0,11.5,17.5,132.0,0.6,0.2,0.7,5.1,0.2,0.1,131.0,65.0,5.5,15.764070004777682,0.0,7.8348527678901805,0.7663818394746524,2.2,5.5,0.0,0.1,0.0,0.7,-7.9221772954042535,0.0,0,0.2890786407047989,0,1.9280868679425214,inf,22.026962006111965,33.94701298701299,10.542857142857143,276.59359941336686,7.23,46.36300983647641,11.6242524827737,0,11.44295342345948,0
