team,position,penalty,GP,player_display_name,age,carries,rushing_yards,rushing_tds,rushing_fumbles_lost,rushing_first_downs,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_2pt_conversions,special_teams_tds,rrtd,PPG,oline,qb,rb,wrte,dst
car,WR,0.9,12,Cam Sims,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.5,7.416666666666667,0.0,0.0,19.333333333333332,1.5,0.4166666666666667,0.0,0.0,0.0,1.075,0.3417521704814521,0.3001808318264014,0.8421052631578942,0.3825581395348836,0.3671171171171163
clt,WR,0.8555555555555556,9,Juwann Winfree,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,8.333333333333334,0.0,0.1111111111111111,17.0,4.0,0.6666666666666666,0.0,0.0,0.0,1.1111111111111112,0.7316495659037092,0.2314647377938518,0.130604288499025,0.2965116279069768,0.671171171171169
nwe,TE,1.0,9,Mitchell Wilcox,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3333333333333333,6.222222222222222,0.0,0.0,1.3333333333333333,5.333333333333333,0.2222222222222222,0.0,0.0,0.0,1.1222222222222222,0.4577742699289659,0.8173598553345387,0.2417153996101362,0.1046511627906974,0.561561561561561
gnb,TE,0.8555555555555556,9,Tyler Davis,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,1.3333333333333333,6.777777777777778,0.0,0.0,7.222222222222222,4.444444444444445,0.2222222222222222,0.0,0.0,0.0,1.1222222222222222,0.5161799526440412,0.7992766726943941,0.2962962962962963,0.3186046511627909,0.6021021021021014
ram,TE,0.8555555555555556,9,Tyler Davis,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,1.3333333333333333,6.777777777777778,0.0,0.0,7.222222222222222,4.444444444444445,0.2222222222222222,0.0,0.0,0.0,1.1222222222222222,0.5509076558800321,0.8824593128390597,0.7582846003898633,0.38953488372093,0.2695195195195197
cle,WR,0.9222222222222223,9,James Proche,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,2.4444444444444446,6.888888888888889,0.0,0.0,26.77777777777778,1.7777777777777777,0.3333333333333333,0.0,0.0,0.0,1.1333333333333333,0.4530386740331487,0.5045207956600362,0.4756335282651065,0.2209302325581394,0.6771771771771764
car,TE,1.0,7,Ian Thomas,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,1.2857142857142858,8.0,0.0,0.0,11.142857142857142,4.714285714285714,0.14285714285714285,0.0,0.0,0.0,1.1571428571428573,0.3417521704814521,0.3001808318264014,0.8421052631578942,0.3825581395348836,0.3671171171171163
sfo,WR,0.9333333333333333,9,Trent Taylor,30.0,0.5555555555555556,1.4444444444444444,0.0,0.0,0.0,0.0,0.6666666666666666,1.3333333333333333,6.888888888888889,0.0,0.0,5.0,4.777777777777778,0.1111111111111111,0.0,0.0,0.0,1.1666666666666667,0.3520126282557223,0.867992766726944,0.6822612085769979,1.0,0.942942942942941
buf,WR,0.8857142857142858,7,Andy Isabella,28.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.7142857142857143,1.5714285714285714,7.857142857142857,0.0,0.0,20.857142857142858,2.4285714285714284,0.7142857142857143,0.0,0.0,0.0,1.1714285714285715,0.5074980268350431,0.9529837251356236,0.6569200779727091,0.3453488372093023,0.5195195195195188
pit,TE,1.0,8,Darnell Washington,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,1.25,7.625,0.0,0.0,1.375,6.25,0.5,0.0,0.0,0.0,1.2000000000000002,0.4925019731649569,0.6889692585895117,0.5692007797270953,0.1825581395348834,0.7087087087087065
