team,position,penalty,GP,player_display_name,age,carries,rushing_yards,rushing_tds,rushing_fumbles_lost,rushing_first_downs,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_2pt_conversions,special_teams_tds,rrtd,PPG,oline,qb,rb,wrte,dst
car,RB,1.0,7,Mike Boone,29.0,0.7142857142857143,3.2857142857142856,0.0,0.0,0.2857142857142857,0.0,1.0,1.2857142857142858,5.714285714285714,0.0,0.0,1.2857142857142858,4.714285714285714,0.2857142857142857,0.0,0.0,0.0,1.9000000000000001,0.3417521704814521,0.3001808318264014,0.8421052631578942,0.3825581395348836,0.3671171171171163
jax,RB,1.0,13,Tank Bigsby,23.0,3.8461538461538463,10.153846153846153,0.15384615384615385,0.07692307692307693,0.9230769230769231,0.0,0.07692307692307693,0.3076923076923077,0.46153846153846156,0.0,0.0,0.46153846153846156,0.38461538461538464,0.0,0.0,0.0,0.15384615384615385,1.9076923076923076,0.209944751381216,0.72875226039783,0.0740740740740744,0.3372093023255806,0.5683183183183171
kan,RB,1.0,7,Keaontay Ingram,25.0,5.0,10.571428571428571,0.0,0.0,0.5714285714285714,0.0,0.5714285714285714,0.5714285714285714,3.7142857142857144,0.0,0.0,-0.7142857142857143,4.428571428571429,0.14285714285714285,0.0,0.0,0.0,2.0,0.5185477505919498,0.9240506329113922,0.3879142300194931,0.5546511627906976,0.2740240240240252
sdg,RB,1.0,9,Isaiah Spiller,23.0,4.111111111111111,10.666666666666666,0.0,0.0,0.1111111111111111,0.0,0.6666666666666666,0.6666666666666666,3.7777777777777777,0.0,0.0,-0.5555555555555556,4.333333333333333,0.1111111111111111,0.0,0.0,0.0,2.111111111111111,0.4640883977900549,0.833634719710669,0.0331384015594542,0.2860465116279065,0.400150150150151
nor,RB,0.9,8,Zander Horvath,26.0,0.5,1.0,0.0,0.0,0.25,0.0,0.625,1.0,1.0,0.25,0.0,0.75,0.125,0.25,0.0,0.0,0.25,2.325,0.348066298342542,0.6835443037974682,0.1559454191033138,0.1802325581395347,0.5315315315315301
mia,RB,1.0,10,Alec Ingold,28.0,0.2,0.0,0.0,0.0,0.0,0.0,1.3,1.6,11.9,0.0,0.0,3.0,9.1,0.5,0.0,0.0,0.0,2.49,0.3007103393843731,0.8589511754068717,1.0,0.6627906976744184,0.721471471471471
clt,RB,1.0,8,Trey Sermon,25.0,4.375,20.0,0.0,0.0,0.875,0.0,0.375,0.75,1.625,0.0,0.0,1.375,0.75,0.0,0.0,0.0,0.0,2.5375,0.7316495659037092,0.2314647377938518,0.130604288499025,0.2965116279069768,0.671171171171169
rai,RB,1.0,16,Ameer Abdullah,31.0,0.9375,5.5625,0.0,0.0,0.375,0.0,1.1875,1.5,8.1875,0.0,0.0,2.875,5.5,0.25,0.0,0.0,0.0,2.5625,0.2991318074191005,0.4792043399638337,0.1559454191033138,0.4767441860465116,0.2860360360360356
atl,RB,0.9,14,Avery Williams,26.0,1.5714285714285714,7.785714285714286,0.07142857142857142,0.0,0.42857142857142855,0.0,0.9285714285714286,1.0,4.357142857142857,0.0,0.0,-1.9285714285714286,6.071428571428571,0.21428571428571427,0.0,0.0,0.07142857142857142,2.571428571428571,0.7355958958168909,0.8444846292947557,0.5165692007797271,0.0,0.4752252252252242
min,RB,0.94,15,C.J. Ham,31.0,0.3333333333333333,0.9333333333333333,0.13333333333333333,0.0,0.2,0.0,1.1333333333333333,1.4,7.4,0.0,0.0,4.866666666666666,5.066666666666666,0.5333333333333333,0.0,0.0,0.13333333333333333,2.7666666666666666,0.3938437253354379,0.9258589511754068,0.6179337231968809,0.5162790697674415,0.8295795795795788
ram,RB,1.0,7,Ronnie Rivers,25.0,4.571428571428571,18.428571428571427,0.0,0.0,0.5714285714285714,0.0,0.7142857142857143,0.7142857142857143,3.142857142857143,0.0,0.0,-2.7142857142857144,5.857142857142857,0.0,0.0,0.0,0.0,2.8714285714285714,0.5509076558800321,0.8824593128390597,0.7582846003898633,0.38953488372093,0.2695195195195197
sfo,RB,1.0,10,Patrick Taylor,26.0,3.2,14.1,0.0,0.0,0.7,0.0,1.1,1.7,4.9,0.0,0.0,-0.8,5.9,0.4,0.0,0.0,0.0,3.0,0.3520126282557223,0.867992766726944,0.6822612085769979,1.0,0.942942942942941
tam,RB,1.0,13,Chase Edmonds,28.0,3.769230769230769,13.538461538461538,0.0,0.0,0.6153846153846154,0.0,1.0769230769230769,1.3076923076923077,6.230769230769231,0.0,0.0,-1.9230769230769231,8.538461538461538,0.38461538461538464,0.0,0.0,0.0,3.0538461538461537,0.2865035516969221,0.6835443037974682,0.5886939571150096,0.1546511627906976,0.4121621621621623
htx,RB,0.7636363636363637,11,J.J. Taylor,26.0,4.7272727272727275,14.181818181818182,0.18181818181818182,0.0,0.7272727272727273,0.0,0.5454545454545454,0.6363636363636364,1.8181818181818181,0.0,0.09090909090909091,-0.5454545454545454,2.090909090909091,0.0,0.0,0.0,0.18181818181818182,3.0545454545454542,0.0276243093922654,0.7902350813743217,0.2241715399610138,0.8093023255813949,0.4684684684684672
pit,RB,0.8111111111111112,9,Godwin Igwebuike,30.0,2.3333333333333335,13.555555555555555,0.1111111111111111,0.2222222222222222,0.7777777777777778,0.0,0.8888888888888888,1.2222222222222223,7.0,0.0,0.0,2.0,7.111111111111111,0.4444444444444444,0.0,0.0,0.1111111111111111,3.1666666666666665,0.4925019731649569,0.6889692585895117,0.5692007797270953,0.1825581395348834,0.7087087087087065
cle,RB,1.0,13,Pierre Strong,26.0,4.846153846153846,22.384615384615383,0.07692307692307693,0.07692307692307693,0.7692307692307693,0.0,0.38461538461538464,0.6153846153846154,3.6153846153846154,0.0,0.0,-0.38461538461538464,5.615384615384615,0.07692307692307693,0.0,0.0,0.07692307692307693,3.2923076923076926,0.4530386740331487,0.5045207956600362,0.4756335282651065,0.2209302325581394,0.6771771771771764
htx,RB,0.9352941176470588,17,Dare Ogunbowale,30.0,2.9411764705882355,9.294117647058824,0.058823529411764705,0.0,0.7058823529411765,0.0,1.2941176470588236,1.9411764705882353,7.176470588235294,0.0,0.0,1.1764705882352942,7.588235294117647,0.29411764705882354,0.0,0.0,0.058823529411764705,3.2941176470588234,0.0276243093922654,0.7902350813743217,0.2241715399610138,0.8093023255813949,0.4684684684684672
nwe,RB,0.9444444444444444,9,Kevin Harris,24.0,3.7777777777777777,13.0,0.2222222222222222,0.0,0.5555555555555556,0.0,0.3333333333333333,0.3333333333333333,6.444444444444445,0.0,0.0,-0.1111111111111111,6.555555555555555,0.2222222222222222,0.0,0.0,0.2222222222222222,3.611111111111111,0.4577742699289659,0.8173598553345387,0.2417153996101362,0.1046511627906974,0.561561561561561
oti,RB,0.9,7,Hassan Haskins,25.0,3.5714285714285716,13.285714285714286,0.0,0.0,0.7142857142857143,0.0,1.5714285714285714,1.7142857142857142,8.142857142857142,0.0,0.0,-0.8571428571428571,8.285714285714286,0.2857142857142857,0.0,0.0,0.0,3.7142857142857144,0.5406471981057615,0.4394213381555154,0.5614035087719298,0.2116279069767439,0.0
sfo,RB,1.0,10,Kyle Juszczyk,33.0,0.5,0.6,0.0,0.0,0.2,0.0,1.4,1.7,11.9,0.2,0.0,7.3,5.8,0.8,0.0,0.0,0.2,3.85,0.3520126282557223,0.867992766726944,0.6822612085769979,1.0,0.942942942942941
crd,RB,1.0,15,Michael Carter,25.0,2.0,12.466666666666667,0.0,0.0,0.6,0.0,1.6,2.066666666666667,6.733333333333333,0.06666666666666667,0.0,2.2666666666666666,5.8,0.3333333333333333,0.0,0.0,0.06666666666666667,3.9200000000000004,0.0994475138121551,0.5678119349005424,0.9337231968810916,0.545348837209302,0.1283783783783763
sdg,RB,0.8066666666666668,15,Jaret Patterson,25.0,5.666666666666667,22.933333333333334,0.13333333333333333,0.0,1.2,0.0,0.6666666666666666,0.8,4.866666666666666,0.0,0.0,0.06666666666666667,5.0,0.3333333333333333,0.0,0.0,0.13333333333333333,4.246666666666667,0.4640883977900549,0.833634719710669,0.0331384015594542,0.2860465116279065,0.400150150150151
sfo,RB,1.0,11,Elijah Mitchell,26.0,6.818181818181818,25.545454545454547,0.18181818181818182,0.0,1.2727272727272727,0.0,0.5454545454545454,0.7272727272727273,1.2727272727272727,0.0,0.0,-2.0,2.3636363636363638,0.18181818181818182,0.0,0.0,0.18181818181818182,4.318181818181818,0.3520126282557223,0.867992766726944,0.6822612085769979,1.0,0.942942942942941
cle,RB,0.9,16,Nyheim Hines,28.0,1.5,2.0625,0.0625,0.0,0.125,0.0,1.875,2.3125,15.0625,0.0625,0.0,7.25,11.875,0.6875,0.0,0.125,0.125,4.3375,0.4530386740331487,0.5045207956600362,0.4756335282651065,0.2209302325581394,0.6771771771771764
buf,RB,0.9666666666666666,9,Darrynton Evans,26.0,5.111111111111111,20.555555555555557,0.1111111111111111,0.0,1.4444444444444444,0.0,0.8888888888888888,1.4444444444444444,9.11111111111111,0.0,0.0,-1.3333333333333333,11.11111111111111,0.3333333333333333,0.0,0.0,0.1111111111111111,4.522222222222222,0.5074980268350431,0.9529837251356236,0.6569200779727091,0.3453488372093023,0.5195195195195188
cin,RB,0.8428571428571429,14,Chris Evans,27.0,1.3571428571428572,6.357142857142857,0.0,0.0,0.21428571428571427,0.0,1.3571428571428572,1.5714285714285714,13.428571428571429,0.21428571428571427,0.0,7.428571428571429,8.642857142857142,0.5714285714285714,0.0,0.0,0.21428571428571427,4.621428571428572,0.4293606945540653,0.6962025316455696,0.1033138401559456,0.4302325581395343,0.2687687687687692
buf,RB,1.0,7,Ty Johnson,27.0,4.285714285714286,18.857142857142858,0.0,0.0,1.1428571428571428,0.0,1.0,1.0,8.857142857142858,0.14285714285714285,0.0,0.2857142857142857,8.571428571428571,0.2857142857142857,0.0,0.0,0.14285714285714285,4.628571428571429,0.5074980268350431,0.9529837251356236,0.6569200779727091,0.3453488372093023,0.5195195195195188
nwe,RB,0.9066666666666666,15,Jamycal Hasty,28.0,3.066666666666667,12.933333333333334,0.13333333333333333,0.0,0.4666666666666667,0.0,1.3333333333333333,1.8666666666666667,8.4,0.06666666666666667,0.0,-0.6666666666666666,8.933333333333334,0.4666666666666667,0.0,0.0,0.2,4.666666666666667,0.4577742699289659,0.8173598553345387,0.2417153996101362,0.1046511627906974,0.561561561561561
kan,RB,1.0,15,Clyde Edwards-Helaire,25.0,4.666666666666667,14.866666666666667,0.06666666666666667,0.0,0.8,0.0,1.1333333333333333,1.4666666666666666,12.533333333333333,0.06666666666666667,0.0,-3.6,15.2,0.4666666666666667,0.0,0.0,0.13333333333333333,4.673333333333334,0.5185477505919498,0.9240506329113922,0.3879142300194931,0.5546511627906976,0.2740240240240252
