team,position,penalty,GP,player_display_name,age,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles_lost,rushing_first_downs,rushing_2pt_conversions,PPG,oline,qb,rb,wrte,dst
clt,QB,0.8571428571428571,7,Sam Ehlinger,26.0,9.142857142857142,14.428571428571429,81.85714285714286,0.42857142857142855,0.42857142857142855,2.0,0.14285714285714285,103.14285714285714,42.0,4.0,0.0,2.857142857142857,13.714285714285714,0.0,0.0,0.8571428571428571,0.0,5.217142857142858,0.7316495659037092,0.2314647377938518,0.130604288499025,0.2965116279069768,0.671171171171169
nor,QB,0.756179775280899,89,Taysom Hill,34.0,2.146067415730337,3.348314606741573,26.382022471910112,0.12359550561797752,0.0898876404494382,0.3258426966292135,0.02247191011235955,27.247191011235955,11.719101123595506,1.2247191011235956,0.0,4.47191011235955,24.258426966292134,0.30337078651685395,0.056179775280898875,1.6292134831460674,0.0,5.458651685393258,0.348066298342542,0.6835443037974682,0.1559454191033138,0.1802325581395347,0.5315315315315301
den,QB,0.7692307692307693,13,Jarrett Stidham,28.0,9.0,15.153846153846153,109.38461538461539,0.6153846153846154,0.6153846153846154,1.4615384615384615,0.07692307692307693,124.38461538461539,59.53846153846154,4.923076923076923,0.0,2.4615384615384617,7.461538461538462,0.0,0.0,0.8461538461538461,0.0,6.1984615384615385,0.5051302288871349,0.969258589511754,0.1773879142300192,0.0720930232558139,0.1118618618618612
sfo,QB,0.7285714285714285,14,Brandon Allen,32.0,10.642857142857142,18.785714285714285,115.07142857142857,0.7142857142857143,0.42857142857142855,1.5,0.07142857142857142,126.42857142857143,65.92857142857143,4.857142857142857,0.0,2.357142857142857,4.571428571428571,0.0,0.0,0.7857142857142857,0.0,6.917142857142858,0.3520126282557223,0.867992766726944,0.6822612085769979,1.0,0.942942942942941
mia,QB,0.9142857142857144,14,Mike White,29.0,14.0,22.357142857142858,158.5,0.6428571428571429,0.9285714285714286,0.9285714285714286,0.07142857142857142,150.21428571428572,84.64285714285714,7.571428571428571,0.0,1.3571428571428572,-0.07142857142857142,0.07142857142857142,0.07142857142857142,0.35714285714285715,0.0,7.190000000000001,0.3007103393843731,0.8589511754068717,1.0,0.6627906976744184,0.721471471471471
nwe,QB,0.9714285714285714,14,Bailey Zappe,25.0,13.714285714285714,21.714285714285715,146.64285714285714,0.7857142857142857,0.8571428571428571,2.2142857142857144,0.21428571428571427,165.0,72.92857142857143,6.428571428571429,0.0,1.9285714285714286,5.928571428571429,0.07142857142857142,0.07142857142857142,0.42857142857142855,0.0,7.744285714285714,0.4577742699289659,0.8173598553345387,0.2417153996101362,0.1046511627906974,0.561561561561561
cle,QB,0.868421052631579,19,Tyler Huntley,26.0,11.631578947368421,18.0,103.0,0.42105263157894735,0.3684210526315789,1.5263157894736843,0.10526315789473684,134.78947368421052,40.8421052631579,5.2105263157894735,0.0,6.052631578947368,26.789473684210527,0.15789473684210525,0.0,2.0,0.05263157894736842,8.483157894736843,0.4530386740331487,0.5045207956600362,0.4756335282651065,0.2209302325581394,0.6771771771771764
was,QB,0.6909090909090909,22,Jeff Driskel,31.0,10.409090909090908,17.772727272727273,108.81818181818181,0.7272727272727273,0.45454545454545453,1.9545454545454546,0.045454545454545456,142.9090909090909,49.09090909090909,5.090909090909091,0.09090909090909091,3.6363636363636362,18.954545454545453,0.13636363636363635,0.0,1.2727272727272727,0.0,8.975454545454546,0.5138121546961325,1.0,0.1949317738791425,0.0848837209302324,0.2907907907907914
oti,QB,0.72,20,Mason Rudolph,29.0,14.55,22.9,154.25,0.95,0.55,1.1,0.05,179.8,79.2,6.75,0.0,2.15,4.85,0.0,0.0,0.65,0.0,9.255,0.5406471981057615,0.4394213381555154,0.5614035087719298,0.2116279069767439,0.0
pit,QB,0.7241379310344828,29,Kyle Allen,28.0,15.206896551724139,24.275862068965516,163.24137931034483,0.896551724137931,0.7241379310344828,2.0689655172413794,0.27586206896551724,188.3448275862069,80.75862068965517,8.758620689655173,0.0,2.2413793103448274,5.586206896551724,0.13793103448275862,0.06896551724137931,0.5862068965517241,0.0,9.364137931034485,0.4925019731649569,0.6889692585895117,0.5692007797270953,0.1825581395348834,0.7087087087087065
