team,position,penalty,GP,player_display_name,age,carries,rushing_yards,rushing_tds,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,rrtd,PPG,oline,rb,wr,qb,te
pit,RB,0.8444444444444446,9,Jonathan Ward,27.0,1.8888888888888888,7.666666666666667,0.0,0.0,0.6666666666666666,0,0.0,0.5555555555555556,0.7777777777777778,4.555555555555555,0.0,0.0,1.8888888888888888,3.3333333333333335,0.2222222222222222,0,0.0,0.0,0.0,1.2222222222222223,46.36300983647641,8.472317941649438,0,12.262456404151788,0
rai,RB,1.0,16,Ameer Abdullah,31.0,0.9375,5.5625,0.0,0.0,0.375,0,0.0,1.1875,1.5,8.1875,0.0,0.0,2.875,5.5,0.25,0,0.0,0.0,0.0,1.375,38.09285132510495,10.179686962068738,0,9.238251003294872,0
ram,RB,1.0,10,Boston Scott,29.0,2.0,8.6,0.0,0.0,0.5,0,0.0,0.4,0.6,5.2,0.0,0.0,3.1,4.3,0.2,0,0.0,0.0,0.0,1.38,41.10018169287638,10.534824154216832,0,10.084202408081058,0
kan,RB,1.0,7,Keaontay Ingram,25.0,5.0,10.571428571428571,0.0,0.0,0.5714285714285714,0,0.0,0.5714285714285714,0.5714285714285714,3.7142857142857144,0.0,0.0,-0.7142857142857143,4.428571428571429,0.14285714285714285,0,0.0,0.0,0.0,1.4285714285714286,44.859344652590686,12.19568776065944,0,10.82523671383684,0
sdg,RB,1.0,9,Isaiah Spiller,23.0,4.111111111111111,10.666666666666666,0.0,0.0,0.1111111111111111,0,0.0,0.6666666666666666,0.6666666666666666,3.7777777777777777,0.0,0.0,-0.5555555555555556,4.333333333333333,0.1111111111111111,0,0.0,0.0,0.0,1.4444444444444444,58.39233130756218,13.009566953032737,0,14.835919960170887,0
min,RB,0.94,15,C.J. Ham,31.0,0.3333333333333333,0.9333333333333333,0.13333333333333333,0.0,0.2,0,0.0,1.1333333333333333,1.4,7.4,0.0,0.0,4.866666666666666,5.066666666666666,0.5333333333333333,0,0.0,0.0,0.13333333333333333,1.6333333333333335,46.86423156443832,12.63344667893255,0,11.336944111582293,0
atl,RB,0.9,14,Avery Williams,26.0,1.5714285714285714,7.785714285714286,0.07142857142857142,0.0,0.42857142857142855,0,0.0,0.9285714285714286,1.0,4.357142857142857,0.0,0.0,-1.9285714285714286,6.071428571428571,0.21428571428571427,0,0.0,0.0,0.07142857142857142,1.6428571428571428,46.36300983647641,7.513943652954624,0,12.51163371921244,0
nor,RB,0.9,8,Zander Horvath,26.0,0.5,1.0,0.0,0.0,0.25,0,0.0,0.625,1.0,1.0,0.25,0.0,0.75,0.125,0.25,0,0.0,0.0,0.25,1.7,57.38988785163836,9.437816045639485,0,15.451812837844908,0
jax,RB,1.0,13,Tank Bigsby,23.0,3.8461538461538463,10.153846153846153,0.15384615384615385,0.07692307692307693,0.9230769230769231,0,0.0,0.07692307692307693,0.3076923076923077,0.46153846153846156,0.0,0.0,0.46153846153846156,0.38461538461538464,0.0,0,0.0,0.0,0.15384615384615385,1.8307692307692307,29.572081949752523,5.65541393709543,0,7.756081944677975,0
sfo,RB,1.0,10,Patrick Taylor,26.0,3.2,14.1,0.0,0.0,0.7,0,0.0,1.1,1.7,4.9,0.0,0.0,-0.8,5.9,0.4,0,0.0,0.0,0.0,1.9000000000000001,49.1197293402669,14.891843060300976,0,11.45347635848502,0
